,Player,Pos,Tm,G,MP,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rk,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,RAPM,RAPM__Off,RAPM__Def,Salary 2020-21
952,Noah Vonleh,PF,BRK,4,11,-19.1,-0.1,0.0,-0.1,-0.487,-20.9,-8.9,-29.9,-0.1,487,0.0,13.2,.000,0.0,8.8,.000,0.0,4.4,.000,0.0,0.0,,0.0,4.4,4.4,4.4,0.0,0.0,8.8,8.8,0.0,14,119,-0.39,-0.09,-0.3,263995.0
953,Dean Wade,PF,CLE,48,821,11.6,0.8,0.7,1.5,.088,-0.8,0.0,-0.8,0.2,489,5.6,12.9,.433,3.2,8.8,.370,2.3,4.1,.565,1.0,1.3,.762,1.4,7.5,8.9,3.2,1.3,1.1,1.1,3.2,15.4,116,113,0.62,-0.11,0.73,1517981.0
954,Moritz Wagner,C,TOT,34,436,13.2,0.3,0.6,0.8,.093,-2.4,0.7,-1.8,0.0,490,7.0,14.5,.485,1.6,5.1,.313,5.4,9.4,.580,4.5,5.8,.778,1.7,8.1,9.8,4.1,2.3,1.0,3.2,7.7,20.2,110,110,1.5,0.87,0.63,2161920.0
963,Kemba Walker,PG,BOS,37,1161,16.3,1.3,1.0,2.3,.095,1.6,-0.7,0.9,0.9,491,9.5,23.8,.401,4.3,12.5,.345,5.2,11.3,.464,4.4,4.7,.937,0.5,5.6,6.1,7.9,1.7,0.4,3.2,2.2,27.8,111,114,-0.03,0.07,-0.11,34379100.0
964,John Wall,PG,HOU,38,1219,15.4,-0.9,0.8,-0.1,-0.004,1.3,-1.8,-0.5,0.5,493,10.8,26.7,.403,3.0,9.2,.325,7.8,17.5,.444,5.7,7.7,.737,0.7,4.1,4.8,10.0,1.6,1.1,5.2,1.7,30.2,99,115,-1.53,-1.32,-0.2,41254920.0
965,Brad Wanamaker,PG,TOT,50,834,8.8,-0.4,0.8,0.4,.024,-4.7,-0.2,-4.9,-0.6,494,5.0,13.7,.365,0.9,4.5,.200,4.1,9.1,.447,3.9,4.4,.872,0.7,4.2,4.9,8.0,1.9,0.5,3.3,4.3,14.8,99,113,0.26,-1.31,1.57,2250000.0
974,T.J. Warren,SF,IND,4,117,11.8,0.1,0.1,0.1,.047,-3.0,-2.5,-5.5,-0.1,495,11.0,20.8,.529,0.0,2.9,.000,11.0,17.9,.614,3.3,4.1,.800,0.8,4.9,5.7,2.0,0.8,0.0,1.6,6.5,25.2,107,117,0.29,0.1,0.19,11750000.0
975,P.J. Washington,PF,CHO,49,1447,12.8,0.0,1.8,1.8,.061,-1.8,0.4,-1.5,0.2,496,6.9,16.2,.428,2.4,6.4,.375,4.5,9.8,.462,3.1,4.0,.782,2.3,8.2,10.6,4.4,1.6,2.2,3.5,4.4,19.4,103,110,1.05,0.29,0.76,4023600.0
976,Yuta Watanabe,SF,TOR,39,521,13.0,0.6,0.7,1.3,.117,-1.1,0.6,-0.5,0.2,497,5.2,11.6,.448,2.2,5.6,.400,3.0,6.0,.492,1.8,2.1,.826,2.9,9.0,11.8,2.6,1.9,1.5,1.4,4.0,14.3,118,110,-0.18,-0.47,0.3,321893.0
977,Paul Watson,SF,TOR,27,297,10.9,0.4,0.2,0.6,.100,-0.7,-0.7,-1.4,0.0,499,6.2,13.3,.463,4.9,10.4,.469,1.3,2.9,.444,0.8,1.3,.625,0.6,6.7,7.3,2.8,1.0,0.5,1.5,5.8,18.0,121,114,-0.2,0.32,-0.52,1445697.0
