,Player,Pos,Tm,G,MP,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rk,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,RAPM,RAPM__Off,RAPM__Def,Salary 2020-21
281,Andre Drummond,C,TOT,32,894,19.4,-0.9,1.8,0.9,.050,-1.4,0.4,-1.0,0.2,133,11.6,24.6,.472,0.0,0.4,.000,11.6,24.1,.481,5.3,8.7,.608,6.5,15.4,21.9,4.2,2.8,1.8,5.5,5.4,28.5,97,103,-0.31,0.16,-0.47,29546311.0
299,Jared Dudley,PF,LAL,11,76,5.5,0.0,0.1,0.1,.081,-3.8,0.2,-3.6,0.0,134,1.3,4.5,.286,1.3,3.2,.400,0.0,1.3,.000,0.0,0.0,,2.6,9.6,12.1,3.2,0.6,0.6,1.3,4.5,3.8,107,108,0.12,-0.16,0.28,2564753.0
300,Kevin Durant,PF,BRK,24,784,26.2,2.4,0.8,3.2,.197,6.1,0.1,6.2,1.6,135,13.7,25.3,.543,3.8,8.1,.462,10.0,17.2,.581,9.0,10.4,.870,0.6,9.4,9.9,7.7,0.9,1.9,5.5,3.0,40.2,121,113,2.11,2.09,0.02,39058950.0
301,Anthony Edwards,SG,MIN,58,1814,12.5,-1.4,0.9,-0.5,-0.013,-1.7,-2.1,-3.8,-0.8,136,9.9,25.0,.397,3.4,10.5,.320,6.6,14.5,.453,4.2,5.3,.788,1.2,5.4,6.6,4.0,1.7,0.6,3.2,2.5,27.4,98,117,-1.86,-0.46,-1.4,9757440.0
302,Carsen Edwards,SG,BOS,23,202,12.4,0.2,0.1,0.4,.084,-2.4,-1.7,-4.1,-0.1,137,9.5,20.4,.464,3.2,10.7,.295,6.3,9.7,.650,1.7,2.2,.778,0.7,4.1,4.9,2.4,1.2,0.2,1.0,5.3,23.8,114,116,-0.53,0.44,-0.97,1517981.0
303,CJ Elleby,SF,POR,21,153,9.1,0.0,0.1,0.1,.027,-3.9,-1.5,-5.4,-0.1,138,6.1,15.7,.388,1.9,8.6,.222,4.2,7.0,.591,2.2,3.5,.636,2.6,4.5,7.0,1.3,1.9,1.0,1.0,6.4,16.3,104,117,-0.46,-0.5,0.04,898310.0
304,Henry Ellenson,PF,TOR,2,38,12.8,0.1,0.0,0.1,.132,-3.1,1.0,-2.1,0.0,139,6.3,17.8,.357,2.5,11.4,.222,3.8,6.3,.600,3.8,5.1,.750,3.8,11.4,15.2,6.3,0.0,0.0,0.0,8.9,19.0,121,114,0.19,-0.37,0.56,50000.0
305,Wayne Ellington,SG,DET,41,900,12.6,1.3,0.4,1.8,.094,1.5,-1.7,-0.3,0.4,140,7.4,16.5,.447,5.6,13.2,.424,1.7,3.2,.542,1.4,1.8,.788,0.7,3.6,4.3,3.2,0.8,0.5,1.5,3.1,21.7,119,117,-0.99,0.46,-1.44,3005225.0
307,Joel Embiid,C,PHI,39,1257,31.2,4.9,2.6,7.4,.284,6.9,1.4,8.3,3.3,141,13.9,27.1,.512,1.7,4.5,.378,12.2,22.6,.539,15.0,17.6,.853,3.2,13.3,16.6,4.7,1.5,2.1,4.6,3.5,44.5,123,103,3.25,1.85,1.4,29542010.0
308,Drew Eubanks,C,SAS,38,522,17.1,0.6,0.9,1.4,.133,-1.7,1.8,0.1,0.3,143,7.2,13.1,.553,0.1,0.1,1.000,7.2,13.0,.550,4.5,6.4,.696,4.0,11.1,15.1,3.0,1.2,3.5,3.0,5.0,19.1,114,106,-0.44,-0.08,-0.36,1620564.0
309,Dante Exum,SG,CLE,6,116,6.0,-0.1,0.1,0.0,-0.020,-4.8,1.7,-3.1,0.0,144,4.2,11.0,.385,0.8,4.7,.182,3.4,6.4,.533,0.4,0.8,.500,0.8,6.4,7.2,5.5,1.7,0.8,3.0,3.8,9.8,86,113,0.71,-0.27,0.98,9600000.0
310,Derrick Favors,C,UTA,54,840,19.7,2.4,1.7,4.1,.232,0.1,1.8,1.9,0.8,146,7.2,11.7,.619,0.0,0.1,.000,7.2,11.6,.622,3.1,4.2,.740,6.5,10.5,17.1,2.3,1.6,3.2,1.9,7.0,17.6,136,103,-0.73,-0.04,-0.69,9258000.0
311,Terrance Ferguson,SG,PHI,13,49,-7.1,-0.2,0.0,-0.2,-0.158,-12.1,-2.7,-14.8,-0.2,148,1.0,6.8,.143,0.0,4.9,.000,1.0,2.0,.500,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,3.9,6.8,2.0,30,114,-0.51,-0.43,-0.09,3944013.0
312,Bruno Fernando,C,ATL,26,178,5.9,-0.3,0.2,-0.1,-0.016,-5.8,-0.6,-6.4,-0.2,149,3.3,7.7,.429,0.0,0.6,.000,3.3,7.2,.462,3.3,5.0,.667,3.6,14.1,17.7,2.5,0.6,0.8,5.0,5.5,10.0,86,112,-0.73,-0.59,-0.14,1517981.0
313,Dorian Finney-Smith,PF,DAL,45,1446,11.5,2.0,1.2,3.1,.104,-0.2,-0.1,-0.3,0.6,151,5.3,11.9,.445,2.9,7.7,.378,2.4,4.2,.569,0.8,1.0,.800,2.7,6.0,8.6,2.4,1.3,0.7,0.9,3.8,14.3,122,114,0.61,1.32,-0.71,4000000.0
314,Malachi Flynn,PG,TOR,33,569,9.7,-0.2,0.5,0.3,.027,-3.5,0.0,-3.5,-0.2,153,6.0,17.0,.353,2.5,8.0,.316,3.5,9.0,.387,1.4,1.9,.739,0.6,5.3,5.8,7.5,2.1,0.4,2.1,3.3,16.0,99,113,-1.13,-1.13,0.01,1950600.0
315,Bryn Forbes,SG,MIL,56,1078,11.9,1.4,0.6,1.9,.086,0.0,-2.0,-2.0,0.0,154,8.3,18.3,.456,5.2,11.8,.437,3.2,6.5,.490,1.6,2.1,.766,0.4,3.1,3.5,1.5,0.8,0.0,1.4,2.6,23.4,116,116,-0.88,0.59,-1.47,2337145.0
316,Evan Fournier,SF-SG,TOT,30,902,17.5,1.3,0.7,2.0,.107,1.6,-0.5,1.1,0.7,156,10.1,22.0,.457,4.5,11.4,.398,5.5,10.6,.520,5.5,6.9,.795,0.3,4.2,4.4,5.5,1.7,0.6,3.1,3.5,30.2,114,115,0.54,1.53,-0.99,17000000.0
325,Markelle Fultz,PG,ORL,8,215,12.0,-0.2,0.2,-0.1,-0.018,-2.9,-1.7,-4.6,-0.1,160,9.3,23.6,.394,0.9,3.6,.250,8.4,20.0,.420,3.9,4.3,.895,1.1,4.5,5.7,9.8,1.8,0.5,4.1,4.1,23.4,96,115,-0.51,0.03,-0.53,12288697.0
326,Wenyen Gabriel,PF,NOP,9,42,1.4,-0.2,0.0,-0.2,-0.194,-7.4,-4.1,-11.5,-0.1,161,2.3,12.7,.182,1.2,5.8,.200,1.2,6.9,.167,2.3,4.6,.500,8.1,8.1,16.1,5.8,1.2,0.0,8.1,2.3,8.1,69,117,0.2,0.04,0.16,1620564.0
327,Daniel Gafford,PF-C,TOT,39,520,21.2,1.2,0.9,2.1,.191,0.3,1.9,2.2,0.6,162,9.0,13.1,.685,0.0,0.0,,9.0,13.1,.685,3.8,5.9,.646,5.2,8.4,13.6,1.8,1.5,4.6,2.7,6.0,21.8,127,107,-0.31,-0.47,0.16,1517981.0
336,Danilo Gallinari,PF,ATL,39,935,15.8,1.9,0.7,2.6,.133,1.3,-0.9,0.4,0.6,163,8.3,19.4,.425,4.4,10.7,.407,3.9,8.7,.448,6.6,7.1,.933,0.6,7.7,8.3,2.9,1.2,0.4,2.0,4.2,27.5,121,115,1.1,1.34,-0.24,19500000.0
337,Langston Galloway,SG,PHO,34,377,12.6,0.6,0.3,0.9,.117,0.5,-0.8,-0.3,0.2,164,7.4,15.8,.471,4.2,9.3,.451,3.3,6.5,.500,2.2,2.2,1.000,0.7,3.9,4.6,3.1,0.8,0.0,1.4,3.0,21.3,122,114,-0.47,-0.34,-0.13,2028594.0
338,Darius Garland,PG,CLE,47,1578,13.7,0.2,0.9,1.1,.034,-0.1,-1.9,-2.0,0.0,165,9.7,21.8,.447,2.8,7.2,.397,6.9,14.6,.471,2.9,3.5,.838,0.7,2.8,3.5,8.9,1.7,0.2,4.4,3.2,25.2,104,116,-1.62,-0.25,-1.37,6720720.0
339,Marc Gasol,C,LAL,44,859,12.0,0.5,1.7,2.3,.126,-1.4,3.1,1.7,0.8,166,4.5,10.2,.444,2.4,6.3,.387,2.1,3.9,.536,1.9,2.5,.750,1.9,8.2,10.1,5.2,1.3,3.0,2.9,5.6,13.3,111,104,-0.88,-0.71,-0.17,2564753.0
340,Rudy Gay,PF,SAS,49,1064,14.5,0.0,1.5,1.5,.067,-0.2,0.0,-0.3,0.5,167,9.1,21.8,.418,3.6,9.5,.380,5.5,12.4,.446,2.8,3.6,.795,1.6,9.5,11.2,3.4,1.6,1.4,2.2,4.2,24.7,103,109,1.51,-0.09,1.6,14000000.0
341,Paul George,SF,LAC,44,1477,22.0,3.3,1.8,5.1,.165,5.0,-0.3,4.7,2.5,168,12.3,25.7,.480,4.9,11.1,.437,7.5,14.6,.513,5.2,5.9,.886,1.3,7.9,9.2,8.1,1.7,0.7,4.8,3.5,34.8,116,111,3.75,2.03,1.72,35450412.0
342,Taj Gibson,PF,NYK,31,642,14.9,1.1,1.2,2.3,.173,-1.5,2.0,0.5,0.4,169,4.7,8.1,.587,0.2,1.1,.214,4.5,7.0,.644,2.3,3.4,.682,5.2,8.0,13.2,1.8,1.9,2.4,1.4,5.2,12.0,131,105,0.83,0.66,0.17,3283684.0
344,Shai Gilgeous-Alexander,SG,OKC,35,1180,21.8,2.8,0.9,3.7,.149,3.8,0.0,3.8,1.7,171,11.6,22.9,.508,2.9,6.9,.418,8.7,16.0,.547,7.5,9.3,.808,0.8,5.9,6.7,8.4,1.1,0.9,4.3,2.8,33.6,118,114,-0.74,0.93,-1.67,4141320.0
345,Anthony Gill,PF,WAS,18,95,8.2,0.0,0.1,0.1,.038,-4.5,-0.9,-5.5,-0.1,172,3.4,10.2,.333,1.0,5.8,.167,2.4,4.4,.556,1.9,2.4,.800,4.4,8.7,13.1,1.9,1.9,1.0,1.9,5.3,9.7,98,110,-0.52,-0.82,0.3,898310.0
346,Rudy Gobert,C,UTA,57,1771,23.7,5.1,4.1,9.2,.249,2.1,2.6,4.7,3.0,174,8.6,12.8,.671,0.0,0.1,.000,8.6,12.7,.675,5.4,8.8,.616,5.3,15.9,21.1,2.1,0.9,4.5,2.5,3.7,22.6,131,101,4.01,2.04,1.96,26525281.0
347,Brandon Goodwin,PG,ATL,38,465,9.7,0.0,0.3,0.2,.026,-2.4,-0.5,-2.9,-0.1,175,6.7,17.5,.382,2.9,8.3,.346,3.8,9.2,.414,2.1,3.4,.625,0.6,4.7,5.3,7.3,1.5,0.0,2.6,3.4,18.3,103,116,-0.05,-0.7,0.66,1701593.0
348,Aaron Gordon,PF,TOT,37,1057,15.3,0.6,1.0,1.5,.069,0.7,0.1,0.8,0.8,176,8.4,18.1,.463,2.3,6.6,.350,6.0,11.4,.528,3.8,5.9,.646,2.6,7.8,10.4,6.3,1.2,1.3,3.8,3.2,22.8,107,113,0.85,0.41,0.44,18136364.0
357,Eric Gordon,SG,HOU,27,789,14.6,0.6,0.3,0.9,.055,0.9,-1.5,-0.6,0.3,177,9.6,22.1,.433,4.2,12.6,.329,5.4,9.5,.573,5.7,6.9,.825,0.5,3.0,3.5,4.3,0.8,0.8,3.1,2.7,29.0,109,118,-0.02,0.3,-0.32,16869276.0
358,Jerami Grant,SF,DET,50,1717,17.0,1.7,1.4,3.1,.088,2.1,-1.1,1.0,1.3,179,10.6,24.8,.428,3.1,8.8,.354,7.5,16.0,.469,7.7,9.0,.860,1.0,5.7,6.7,4.1,1.0,1.6,2.9,3.3,32.0,110,114,0.07,-0.14,0.21,19047619.0
359,Danny Green,SF,PHI,56,1598,12.2,1.4,2.6,3.9,.119,0.3,1.3,1.7,1.5,180,5.6,13.3,.421,4.4,10.6,.415,1.2,2.7,.444,0.7,1.0,.758,1.4,4.9,6.3,2.8,2.2,1.4,1.8,3.1,16.3,114,107,1.2,1.29,-0.09,15365854.0
360,Draymond Green,PF,GSW,50,1538,12.4,0.4,2.4,2.9,.089,-2.2,2.9,0.7,1.1,181,3.9,9.3,.416,0.8,3.2,.260,3.1,6.1,.498,1.6,2.0,.773,1.3,8.7,10.0,13.0,2.5,1.2,4.4,4.8,10.1,106,107,2.39,2.32,0.07,22246956.0
361,JaMychal Green,PF,DEN,44,820,15.0,1.3,0.9,2.1,.126,0.0,-1.6,-1.6,0.1,182,8.2,17.2,.477,3.8,9.1,.413,4.5,8.2,.548,2.3,2.7,.844,3.9,9.4,13.3,2.1,1.4,0.9,2.5,7.0,22.5,118,112,1.16,0.95,0.2,7199760.0
362,Javonte Green,SG-PG,TOT,29,371,11.2,0.3,0.4,0.7,.089,-2.2,0.9,-1.3,0.1,183,5.3,10.2,.519,0.9,3.0,.304,4.4,7.1,.611,2.6,4.0,.667,2.9,4.8,7.7,1.7,2.6,0.5,2.1,4.6,14.1,114,112,-0.76,-0.66,-0.1,1517981.0
371,Jeff Green,C,BRK,53,1408,12.0,1.9,0.9,2.7,.093,-0.5,-1.1,-1.6,0.1,184,6.5,13.5,.486,2.5,6.2,.403,4.0,7.3,.557,2.9,3.9,.761,0.9,5.9,6.7,2.8,1.0,0.7,1.5,3.1,18.5,119,116,0.33,2.01,-1.68,2564753.0
372,Josh Green,SG,DAL,28,284,7.1,-0.2,0.2,0.1,.010,-4.5,-0.5,-5.0,-0.2,185,4.5,10.4,.433,0.3,3.0,.118,4.2,7.5,.558,1.6,2.6,.600,3.1,6.1,9.2,2.4,1.2,0.5,2.6,3.5,11.0,96,114,0.02,-0.46,0.48,2816760.0
373,Blake Griffin,PF,TOT,31,844,11.1,0.2,0.7,0.9,.051,-1.3,-0.5,-1.8,0.0,186,6.3,16.3,.388,2.9,8.7,.333,3.4,7.6,.450,3.6,5.0,.724,0.8,8.0,8.7,6.0,1.3,0.4,2.7,3.8,19.1,105,113,-0.64,-0.56,-0.08,33685241.0
391,Rui Hachimura,PF,WAS,47,1492,10.9,0.3,1.2,1.4,.045,-2.3,-1.5,-3.7,-0.7,188,7.6,16.2,.467,1.1,3.6,.316,6.4,12.6,.510,3.3,4.4,.759,1.3,7.0,8.3,2.2,1.2,0.1,1.9,3.2,19.6,105,114,-0.94,-0.88,-0.06,4692840.0
392,Tyrese Haliburton,PG,SAC,51,1525,16.0,2.5,0.4,2.9,.092,1.7,-0.7,0.9,1.1,190,7.9,16.6,.473,3.3,8.0,.411,4.6,8.6,.531,1.3,1.5,.837,1.1,3.7,4.9,8.0,2.1,0.8,2.4,2.5,20.3,119,119,-0.54,-0.05,-0.49,3831840.0
393,R.J. Hampton,PG-SG,TOT,37,502,9.2,-0.3,0.4,0.1,.011,-4.2,-1.1,-5.3,-0.4,193,6.8,15.7,.431,1.3,4.8,.265,5.5,10.9,.505,2.3,3.4,.657,1.8,7.9,9.7,3.2,1.5,0.5,2.8,3.6,17.0,96,113,-2.39,-1.45,-0.94,2193480.0
402,Tim Hardaway Jr.,SG,DAL,55,1560,14.7,2.0,0.9,2.9,.088,1.4,-1.8,-0.4,0.6,194,9.7,22.1,.440,4.9,12.8,.386,4.8,9.3,.514,3.2,4.0,.800,0.5,5.3,5.8,2.9,0.8,0.3,1.6,2.6,27.5,113,116,-1.05,0.22,-1.27,18975000.0
403,James Harden,PG-SG,TOT,42,1558,24.6,5.2,1.6,6.8,.209,6.1,0.4,6.5,3.3,195,10.3,22.3,.463,3.6,10.1,.358,6.7,12.2,.549,8.5,9.8,.870,1.1,9.3,10.4,14.1,1.5,0.9,5.3,2.9,32.7,122,112,1.21,2.55,-1.34,40824000.0
412,Maurice Harkless,PF-SF,TOT,23,386,6.9,0.1,0.2,0.3,.033,-3.7,-0.1,-3.7,-0.2,196,3.5,8.8,.400,1.5,5.3,.286,2.0,3.5,.571,1.6,2.1,.765,0.9,4.5,5.4,2.8,1.5,1.5,1.4,5.8,10.2,105,116,-0.87,-0.87,0.01,3623000.0
421,Montrezl Harrell,C,LAL,58,1398,22.4,4.0,2.5,6.5,.221,2.3,0.3,2.6,1.6,198,11.4,18.4,.616,0.0,0.3,.000,11.4,18.1,.628,5.3,7.5,.713,4.8,8.4,13.3,2.3,1.4,1.5,2.3,3.7,28.1,126,106,1.19,0.17,1.03,9258000.0
422,Gary Harris,SG,TOT,24,709,9.5,0.4,0.4,0.8,.056,-2.4,-1.6,-4.0,-0.4,199,6.0,14.3,.420,2.1,6.1,.341,3.9,8.2,.479,2.6,3.3,.787,1.0,2.7,3.8,3.3,1.4,0.5,1.5,3.3,16.7,110,116,1.41,1.12,0.29,19160714.0
431,Joe Harris,SF,BRK,57,1750,14.8,3.9,0.9,4.7,.129,2.1,-1.4,0.7,1.2,201,8.2,16.0,.512,4.9,10.3,.477,3.3,5.7,.576,1.1,1.4,.769,1.0,4.6,5.6,2.9,1.1,0.3,1.3,3.1,22.4,129,117,2.1,1.94,0.17,16071429.0
432,Tobias Harris,PF,PHI,49,1631,20.7,3.6,2.6,6.2,.182,3.2,0.9,4.1,2.5,202,11.4,22.0,.521,2.1,5.1,.407,9.4,16.9,.555,4.6,5.1,.886,1.4,8.9,10.4,5.2,1.3,1.3,2.7,2.9,29.5,120,107,1.78,0.23,1.54,33517241.0
433,Shaquille Harrison,SG,TOT,19,76,6.0,-0.1,0.1,0.0,-0.029,-6.5,-0.8,-7.3,-0.1,203,5.1,15.4,.333,0.0,1.3,.000,5.1,14.2,.364,3.2,3.9,.833,1.9,4.5,6.4,6.4,1.9,0.0,3.9,3.2,13.5,88,111,-1.49,-1.12,-0.37,770433.0
442,Josh Hart,SF,NOP,47,1349,12.3,1.5,1.1,2.6,.092,-1.1,0.0,-1.1,0.3,204,5.4,12.4,.439,2.3,6.9,.326,3.2,5.4,.583,2.5,3.2,.775,1.9,11.6,13.5,3.9,1.4,0.4,1.8,4.0,15.6,117,114,-0.33,0.75,-1.08,3491159.0
443,Isaiah Hartenstein,C,TOT,41,489,18.3,0.6,0.8,1.5,.143,-2.7,1.2,-1.5,0.1,205,8.0,14.5,.552,0.2,0.5,.400,7.8,14.0,.558,4.2,6.8,.627,6.1,10.6,16.7,4.6,1.8,3.7,3.9,9.3,20.4,114,106,1.25,0.08,1.17,1445697.0
452,Jaxson Hayes,C,NOP,45,666,17.6,1.6,0.5,2.2,.157,-0.3,-0.2,-0.5,0.2,206,8.1,12.3,.657,0.2,0.4,.500,7.9,11.9,.663,4.2,5.5,.763,4.4,8.2,12.6,1.8,1.2,1.7,2.3,5.7,20.6,132,114,-0.35,-0.53,0.18,5105160.0
453,Killian Hayes,PG,DET,14,315,5.7,-0.8,0.3,-0.5,-0.072,-6.3,-0.6,-6.9,-0.4,207,5.3,15.1,.351,1.2,5.1,.242,4.0,10.0,.406,1.1,1.2,.875,0.6,4.4,5.0,9.3,2.2,0.8,5.4,4.2,12.9,82,113,-0.66,-0.4,-0.26,5307120.0
454,Gordon Hayward,SF,CHO,44,1496,17.6,2.3,1.4,3.7,.118,1.9,-0.5,1.4,1.3,208,10.1,21.4,.473,2.8,6.7,.415,7.3,14.7,.499,5.1,6.0,.843,1.2,7.2,8.4,5.9,1.7,0.5,3.0,2.4,28.0,114,113,0.53,0.54,0.01,28500000.0
455,Tyler Herro,SG,MIA,46,1430,12.3,-0.5,1.6,1.0,.035,-1.1,-1.2,-2.3,-0.1,211,8.8,20.9,.422,2.9,8.7,.331,6.0,12.2,.487,3.0,3.7,.815,0.8,7.0,7.8,5.5,1.2,0.6,3.1,2.0,23.6,100,112,-1.24,-1.11,-0.13,3822240.0
456,Buddy Hield,SG,SAC,56,1923,12.0,0.9,0.2,1.2,.029,0.4,-1.9,-1.5,0.2,212,7.9,19.6,.400,5.5,14.5,.382,2.3,5.2,.449,1.7,2.1,.833,0.5,5.7,6.3,4.3,1.2,0.5,2.4,3.5,23.0,107,120,-1.05,0.97,-2.02,24431818.0
457,George Hill,PG,TOT,15,387,15.3,0.7,0.2,1.0,.119,0.6,-0.5,0.0,0.2,213,7.6,15.4,.496,2.7,7.2,.379,4.9,8.3,.597,2.6,3.1,.840,1.1,2.7,3.8,5.6,1.5,0.5,1.7,1.5,20.6,123,116,0.77,0.73,0.03,9590602.0
466,Solomon Hill,PF,ATL,56,1156,7.2,0.2,0.8,1.0,.042,-2.7,0.1,-2.6,-0.2,214,3.9,10.4,.373,2.6,7.6,.335,1.3,2.8,.477,1.0,1.3,.767,1.4,5.0,6.5,2.3,1.7,0.4,1.4,3.9,11.3,106,115,-0.87,0.29,-1.15,2174318.0
467,Aaron Holiday,PG,IND,55,958,8.8,-0.5,0.6,0.1,.003,-3.4,-1.1,-4.5,-0.6,217,7.2,18.3,.391,2.9,7.8,.372,4.3,10.5,.406,2.5,3.2,.797,0.4,2.9,3.4,4.4,1.7,0.4,2.5,4.2,19.7,98,116,0.01,1.18,-1.19,2345640.0
468,Jrue Holiday,PG,MIL,45,1436,19.9,3.2,1.8,5.0,.168,2.7,0.9,3.6,2.0,218,10.1,20.0,.506,2.8,7.0,.404,7.3,13.1,.560,2.5,3.0,.837,1.9,4.8,6.7,8.1,2.6,0.8,3.1,2.5,25.6,120,110,1.5,1.15,0.35,26131111.0
469,Justin Holiday,SG,IND,57,1772,10.1,0.9,1.4,2.3,.063,-0.9,-0.3,-1.2,0.4,219,5.5,13.6,.406,3.7,9.9,.371,1.9,3.7,.500,1.4,1.8,.779,0.7,4.8,5.5,2.5,1.9,0.6,1.2,3.0,16.1,110,114,1.04,-0.24,1.28,5720400.0
470,Richaun Holmes,C,SAC,50,1499,20.3,4.1,1.1,5.2,.166,0.7,-0.2,0.5,1.0,221,9.5,14.8,.641,0.1,0.3,.200,9.4,14.5,.651,3.5,4.4,.797,4.1,10.2,14.3,2.7,1.1,2.6,2.0,5.8,22.6,132,115,1.93,1.92,0.01,5005350.0
471,Rodney Hood,SF,TOT,48,883,5.4,-0.7,0.2,-0.5,-0.028,-5.3,-2.0,-7.3,-1.2,222,5.0,13.6,.364,1.8,6.0,.306,3.1,7.7,.410,1.0,1.3,.826,1.2,3.9,5.0,2.8,1.2,0.4,1.9,3.9,12.8,93,119,-1.74,-0.71,-1.03,10047450.0
480,Al Horford,C,OKC,28,782,17.6,0.8,0.9,1.7,.105,1.9,1.4,3.3,1.0,223,9.9,22.0,.450,3.4,9.3,.368,6.5,12.7,.510,1.1,1.3,.818,1.8,9.7,11.5,5.7,1.5,1.6,1.8,2.9,24.3,111,111,-0.34,-1.67,1.33,27500000.0
481,Talen Horton-Tucker,SG,LAL,53,1051,13.0,-0.1,1.9,1.8,.082,-2.6,1.5,-1.1,0.3,224,8.4,18.8,.446,1.4,5.2,.274,7.0,13.6,.512,3.7,4.6,.808,1.0,5.9,6.8,6.2,2.4,0.9,3.6,4.8,21.9,102,105,-1.58,-1.04,-0.54,1517981.0
482,Dwight Howard,C,PHI,55,955,16.3,0.6,2.1,2.7,.138,-3.2,0.4,-2.8,-0.2,226,6.7,11.6,.580,0.2,0.8,.250,6.5,10.8,.605,4.8,8.2,.579,7.3,15.6,22.9,2.1,1.2,2.6,4.9,8.4,18.4,109,102,-1.12,-1.16,0.04,2564753.0
483,Kevin Huerter,SG,ATL,57,1773,12.3,1.8,1.2,3.0,.081,-0.6,0.0,-0.6,0.6,228,7.3,16.8,.432,3.3,8.9,.372,3.9,7.9,.500,1.3,1.5,.818,0.9,4.4,5.4,5.6,1.8,0.4,1.9,3.8,19.1,113,115,-1.72,0.21,-1.93,2761920.0
484,Elijah Hughes,SF,UTA,12,42,13.2,0.0,0.1,0.0,.039,0.3,-0.1,0.2,0.0,229,9.3,23.2,.400,7.0,17.4,.400,2.3,5.8,.400,3.5,4.6,.750,0.0,8.1,8.1,4.6,1.2,1.2,5.8,1.2,29.0,99,109,-0.66,-0.44,-0.22,898310.0
485,Chandler Hutchison,SF,TOT,13,176,2.9,-0.5,0.2,-0.3,-0.086,-8.2,-1.6,-9.8,-0.3,231,4.8,14.4,.333,0.8,3.5,.231,4.0,10.9,.366,2.4,2.9,.818,1.1,10.4,11.4,2.4,1.1,0.0,3.7,4.5,12.8,76,113,0.3,0.01,0.31,2443440.0
494,Serge Ibaka,C,LAC,39,919,17.6,1.5,1.2,2.7,.141,1.0,-0.5,0.4,0.6,232,9.5,18.7,.507,2.0,5.8,.352,7.4,12.9,.577,2.0,2.4,.822,3.7,10.4,14.0,3.7,0.5,2.5,2.4,4.0,23.0,117,110,1.1,1.01,0.09,9258000.0
495,Andre Iguodala,SF,MIA,52,1117,9.8,0.0,1.7,1.7,.073,-2.3,2.1,-0.3,0.5,233,3.7,9.7,.385,2.4,7.3,.329,1.3,2.4,.556,1.0,1.5,.647,1.5,7.1,8.6,5.1,2.3,1.2,2.4,3.2,10.8,103,108,-0.35,-1.01,0.66,15000000.0
496,Joe Ingles,SF,UTA,53,1438,17.2,4.3,1.7,6.0,.201,3.5,1.1,4.5,2.4,235,7.5,14.3,.522,5.0,10.3,.490,2.4,4.0,.605,2.0,2.3,.868,0.7,5.8,6.6,7.8,1.3,0.3,2.9,3.4,22.0,134,111,2.04,1.88,0.16,10863637.0
497,Brandon Ingram,SF,NOP,52,1805,19.8,3.8,0.9,4.7,.125,3.9,-1.3,2.5,2.0,236,11.9,25.4,.466,3.3,8.7,.382,8.5,16.7,.510,6.7,7.5,.886,0.8,6.1,6.9,6.7,1.0,0.9,3.5,2.7,33.7,116,117,0.02,1.43,-1.41,27285000.0
498,Kyrie Irving,PG,BRK,41,1440,24.7,4.7,1.1,5.8,.195,5.7,-0.7,5.0,2.5,237,14.3,28.1,.511,3.7,9.5,.389,10.6,18.5,.573,5.1,5.6,.916,1.5,5.1,6.5,8.4,1.7,0.8,3.2,3.7,37.5,122,114,2.34,2.3,0.05,33329100.0
499,Josh Jackson,SG,DET,53,1313,12.5,-1.1,1.4,0.3,.011,-2.3,-0.8,-3.1,-0.4,240,9.6,22.6,.425,2.5,8.0,.313,7.1,14.6,.487,4.9,6.7,.732,1.8,6.4,8.2,4.1,1.8,1.4,4.4,5.6,26.6,97,112,0.26,-1.74,1.99,4767000.0
500,Justin Jackson,SF,OKC,33,544,10.8,-0.1,0.3,0.2,.022,-2.0,-1.0,-2.9,-0.1,241,7.5,18.6,.406,3.0,9.7,.306,4.6,8.9,.515,2.6,3.1,.857,1.2,5.0,6.2,4.5,1.3,0.2,2.7,2.7,20.7,102,115,-1.16,-1.16,0.01,5029650.0
501,Reggie Jackson,SG,LAC,56,1263,14.3,2.0,1.1,3.1,.119,0.3,-0.5,-0.2,0.6,242,8.4,18.4,.455,3.7,8.5,.433,4.7,9.9,.474,2.3,2.9,.800,0.8,5.5,6.3,6.7,1.3,0.2,2.4,4.4,22.8,117,113,0.11,1.61,-1.5,2331593.0
502,Justin James,SF,SAC,25,151,7.5,0.0,0.0,-0.1,-0.018,-3.3,-2.5,-5.7,-0.1,243,5.7,13.3,.429,1.6,5.4,.294,4.1,7.9,.520,1.6,3.8,.417,1.0,2.5,3.5,4.8,1.0,0.3,1.9,3.2,14.6,101,123,-0.33,-0.24,-0.09,1517981.0
503,LeBron James,PG,LAL,41,1388,24.6,3.0,2.6,5.6,.193,6.1,1.7,7.8,3.4,244,13.6,26.4,.513,3.4,9.3,.368,10.1,17.1,.592,5.9,8.4,.703,0.8,10.5,11.3,11.3,1.5,0.8,5.3,2.3,36.5,115,105,3.49,1.64,1.85,39219565.0
